id_cliente,idade,estado,dias_atraso,valor_divida,score_credito,status,data_contato,pagou
1,60.0,RJ,28.0,1112.76,581.0,Pago,2025-04-25,Sim
2,28.0,MG,26.0,17079.14,858.0,Em Negociação,2025-10-30,Não
3,47.0,PR,8.0,1230.03,523.0,Pago,2025-09-16,Sim
4,58.0,BA,6.0,14250.5,652.0,Acordo,2025-04-23,Não
5,48.0,SP,150.0,7315.67,306.0,Pago,2025-12-24,Sim
6,47.0,RJ,87.0,7307.85,520.0,Inadimplente,2025-02-22,Não
7,25.0,MG,97.0,2869.55,652.0,Cobrança,2025-05-16,Não
8,22.0,PR,117.0,13637.59,687.0,Em Negociação,2025-10-10,Não
9,38.0,BA,160.0,15653.73,670.0,Cobrança,2025-04-09,Não
10,65.0,SP,17.0,1622.7,533.0,Inadimplente,2025-02-10,Não
11,34.0,RJ,25.0,9813.09,764.0,Inadimplente,Não informado,Não
12,43.0,MG,90.0,5632.92,573.0,Em Negociação,2025-11-08,Não
13,60.0,PR,43.0,13586.43,550.0,Pago,2025-08-25,Sim
14,44.0,BA,69.0,24743.32,870.0,Pago,2025-12-17,Sim
15,40.0,SP,14.0,6111.68,332.0,Inadimplente,2025-07-25,Não
16,37.0,RJ,16.0,12894.18,880.0,Inadimplente,2025-04-19,Não
17,61.0,MG,127.0,10192.98,769.0,Pago,2025-05-16,Sim
18,28.0,PR,63.0,18752.23,851.0,Inadimplente,2025-10-27,Não
19,47.0,BA,149.0,10285.31,524.0,Pago,2025-09-18,Sim
20,51.0,SP,23.0,19016.66,412.0,Pago,2025-11-18,Sim
21,30.0,RJ,174.0,10842.92,365.0,Acordo,2025-07-15,Não
22,58.0,MG,119.0,13463.3,866.0,Em Negociação,2025-12-15,Não
23,66.0,PR,86.0,17201.9,849.0,Inadimplente,2025-11-25,Não
24,41.0,BA,28.0,7690.75,461.0,Acordo,2025-01-02,Não
25,66.0,SP,67.0,24311.26,482.0,Cobrança,2025-02-24,Não
26,60.0,RJ,76.0,21120.9,819.0,Cobrança,2025-04-12,Não
27,29.0,MG,95.0,19181.51,852.0,Cobrança,2025-01-01,Não
28,58.0,PR,82.0,12470.84,414.0,Inadimplente,2025-06-07,Não
29,35.0,BA,14.0,6401.35,880.0,Em Negociação,2025-02-13,Não
30,66.0,SP,124.0,20492.57,845.0,Pago,2025-03-07,Sim
31,62.0,RJ,121.0,23697.79,469.0,Inadimplente,2025-09-28,Não
32,58.0,MG,108.0,24126.89,852.0,Pago,2026-01-01,Sim
33,39.0,PR,102.0,24881.16,682.0,Acordo,2025-09-22,Não
34,48.0,BA,30.0,6573.69,365.0,Inadimplente,2025-01-11,Não
35,57.0,SP,141.0,6137.81,525.0,Em Negociação,2025-02-06,Não
36,65.0,RJ,161.0,1942.41,369.0,Não informado,2025-06-19,Não
37,24.0,MG,131.0,6331.11,797.0,Pago,2025-10-04,Sim
38,28.0,PR,146.0,14617.19,548.0,Acordo,2025-07-28,Não
39,32.0,BA,24.0,2874.8,741.0,Inadimplente,2025-08-05,Não
40,46.0,SP,119.0,21664.0,355.0,Em Negociação,2025-02-01,Não
41,45.0,RJ,86.0,20114.52,411.0,Pago,2025-04-09,Sim
42,32.0,MG,137.0,11491.03,732.0,Pago,2025-05-23,Sim
43,49.0,PR,63.0,21924.91,377.0,Acordo,2025-10-09,Não
44,26.0,BA,12.0,16477.55,853.0,Em Negociação,2025-02-17,Não
45,68.0,SP,60.0,4574.62,797.0,Acordo,2025-04-20,Não
46,45.0,RJ,15.0,4533.61,302.0,Acordo,2025-05-16,Não
47,70.0,MG,116.0,7488.61,869.0,Acordo,2025-03-21,Não
48,32.0,PR,75.0,5833.67,359.0,Cobrança,2025-10-05,Não
49,46.0,BA,80.0,1900.55,898.0,Acordo,2025-09-15,Não
50,53.0,SP,40.0,1893.55,820.0,Em Negociação,2025-04-06,Não
51,24.0,RJ,152.0,2165.04,540.0,Acordo,2025-03-03,Não
52,56.0,MG,63.0,14683.52,340.0,Cobrança,2025-02-11,Não
53,46.0,PR,168.0,14799.97,835.0,Inadimplente,2025-05-14,Não
54,33.0,BA,171.0,18046.7,544.0,Inadimplente,2025-07-22,Não
55,28.0,SP,171.0,16314.77,768.0,Inadimplente,2025-02-07,Não
56,20.0,RJ,117.0,15718.4,876.0,Em Negociação,2025-02-07,Não
57,54.0,MG,54.0,12894.18,435.0,Inadimplente,2025-02-05,Não
58,35.0,PR,94.0,7482.19,748.0,Cobrança,2025-12-27,Não
59,39.0,BA,156.0,24604.41,841.0,Em Negociação,2025-12-08,Não
60,55.0,SP,76.0,23328.02,406.0,Pago,2025-05-16,Sim
